epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4043,1.52143,3.33923,2.11829,1.6998,0.48183,0.22661,0.23697,0.11706,0.39731,0.17227,0.15529,0.06037,2.07182,6.76969,2.94638,2.5207,0.0673511,0.000329787,0.000329787
2,84.9774,1.38963,2.71952,1.622,1.58253,0.38849,0.30252,0.24561,0.11054,0.54977,0.21549,0.21745,0.09406,2.07846,3.89393,2.66879,2.32186,0.0343445,0.000656556,0.000656556
3,111.021,1.32722,2.50728,1.44072,1.55012,0.5548,0.2395,0.24988,0.09805,0.50362,0.2605,0.22854,0.08339,2.23064,4.03198,2.7531,2.74281,0.00133133,0.000976724,0.000976724
4,130.742,1.30284,2.41506,1.37211,1.50514,0.57491,0.39916,0.3925,0.20221,0.60031,0.37395,0.37485,0.16396,1.7699,3.71159,1.89877,1.98681,0.0009703,0.0009703,0.0009703
5,150.659,1.27337,2.31232,1.28043,1.51611,0.48496,0.41176,0.32109,0.16216,0.49662,0.37395,0.30705,0.13676,1.87371,3.61519,2.17497,2.04452,0.0009604,0.0009604,0.0009604
6,170.266,1.23399,2.2205,1.25146,1.4665,0.56335,0.43277,0.43281,0.22111,0.57446,0.41176,0.40759,0.17447,1.68464,3.40721,1.85358,1.97315,0.0009505,0.0009505,0.0009505
7,189.639,1.14944,2.21679,1.18197,1.40945,0.55974,0.36555,0.33577,0.16004,0.36987,0.29832,0.23682,0.08544,1.92179,5.85696,2.32628,2.37859,0.0009406,0.0009406,0.0009406
8,211.566,1.12333,2.11497,1.13706,1.399,0.5035,0.4048,0.37135,0.17651,0.45615,0.35714,0.30452,0.12213,1.90681,3.78074,1.97231,2.16447,0.0009307,0.0009307,0.0009307
9,241.918,1.1159,2.04124,1.09845,1.38233,0.61797,0.42017,0.42569,0.21746,0.58812,0.37797,0.36567,0.15866,1.77128,3.50801,1.82895,2.10845,0.0009208,0.0009208,0.0009208
10,272.045,1.09854,2.03888,1.06573,1.36024,0.53326,0.40336,0.40383,0.20866,0.52407,0.35294,0.35841,0.16548,1.78886,3.7151,1.92412,2.04424,0.0009109,0.0009109,0.0009109
11,302.793,1.05142,1.99098,1.02755,1.3393,0.62755,0.46726,0.47461,0.2619,0.60327,0.45378,0.46072,0.22856,1.6328,3.26692,1.55461,1.94413,0.000901,0.000901,0.000901
12,324.516,1.06233,2.00817,1.02083,1.34302,0.49525,0.40756,0.39619,0.23318,0.70586,0.37815,0.43145,0.21328,1.76758,3.38377,1.75616,2.05155,0.0008911,0.0008911,0.0008911
13,344.145,1.0334,1.9891,1.02765,1.32378,0.65689,0.42017,0.46785,0.27408,0.71363,0.38741,0.45169,0.2246,1.57373,3.19421,1.70445,1.85813,0.0008812,0.0008812,0.0008812
14,363.606,0.99086,1.92647,0.97483,1.30039,0.64644,0.39916,0.46568,0.24714,0.65354,0.39916,0.4319,0.19736,1.76247,3.72596,1.62977,2.02755,0.0008713,0.0008713,0.0008713
15,383.348,0.96128,1.83652,0.94588,1.2704,0.66974,0.42017,0.47568,0.27013,0.67721,0.40549,0.4326,0.21649,1.61882,3.25915,1.6208,1.82334,0.0008614,0.0008614,0.0008614
16,402.913,0.96805,1.89773,0.9378,1.27768,0.68404,0.5084,0.54571,0.30673,0.66035,0.48739,0.51019,0.25029,1.58011,3.555,1.43278,1.83113,0.0008515,0.0008515,0.0008515
17,422.463,0.96752,1.82352,0.93713,1.2879,0.58704,0.4958,0.46869,0.25373,0.57596,0.46639,0.42736,0.19225,1.74347,3.32515,1.6427,2.07294,0.0008416,0.0008416,0.0008416
18,442.241,0.92357,1.81215,0.87418,1.24709,0.68044,0.5189,0.53253,0.28267,0.66475,0.48321,0.49804,0.25615,1.67031,3.21099,1.49138,1.97098,0.0008317,0.0008317,0.0008317
19,461.804,0.9301,1.80651,0.88305,1.2417,0.67538,0.47479,0.52948,0.30353,0.67128,0.47191,0.51926,0.25857,1.51761,2.97238,1.37573,1.70303,0.0008218,0.0008218,0.0008218
20,481.485,0.93928,1.73934,0.85732,1.25197,0.65011,0.5042,0.53752,0.29963,0.73283,0.43795,0.50602,0.26657,1.59794,2.99558,1.38391,1.85646,0.0008119,0.0008119,0.0008119
21,512.895,0.88728,1.68549,0.82559,1.22318,0.69325,0.52101,0.5514,0.34386,0.71049,0.53361,0.55181,0.28404,1.40851,2.90339,1.35592,1.65216,0.000802,0.000802,0.000802
22,544.363,0.90495,1.70725,0.85186,1.23356,0.64433,0.5,0.52722,0.31268,0.61687,0.4958,0.49137,0.24581,1.46471,3.02748,1.36396,1.69185,0.0007921,0.0007921,0.0007921
23,574.568,0.89325,1.71301,0.81611,1.2365,0.78086,0.51681,0.56472,0.32503,0.77837,0.48696,0.5438,0.27279,1.47864,2.93997,1.28929,1.70134,0.0007822,0.0007822,0.0007822
24,606.067,0.87203,1.6317,0.79809,1.22239,0.72627,0.49051,0.53244,0.30755,0.76265,0.45798,0.4964,0.24895,1.5076,2.97386,1.39686,1.71904,0.0007723,0.0007723,0.0007723
25,636.9,0.87048,1.69135,0.83379,1.21715,0.6365,0.51502,0.5274,0.30844,0.76764,0.41176,0.47014,0.21127,1.5049,3.66665,1.48338,1.88227,0.0007624,0.0007624,0.0007624
26,667.382,0.85489,1.63895,0.8062,1.20302,0.73552,0.53751,0.58278,0.36089,0.70957,0.51261,0.55151,0.29172,1.41375,3.00881,1.23016,1.68053,0.0007525,0.0007525,0.0007525
27,697.794,0.84682,1.67368,0.79879,1.19454,0.69417,0.5084,0.54238,0.29441,0.70951,0.44118,0.49156,0.2372,1.58139,3.64272,1.48543,1.8565,0.0007426,0.0007426,0.0007426
28,728.387,0.84736,1.61057,0.80075,1.18788,0.72999,0.4958,0.54751,0.32686,0.73758,0.4958,0.53328,0.27128,1.54843,3.05021,1.30093,1.83023,0.0007327,0.0007327,0.0007327
29,749.909,0.82252,1.61787,0.75751,1.1792,0.73626,0.5513,0.58124,0.37621,0.71591,0.54002,0.55646,0.30932,1.33234,2.94203,1.22389,1.57815,0.0007228,0.0007228,0.0007228
